filename,cluster,pca1,pca2
.DS_Store,2,-0.06480517757682827,0.14802720549901316
area_density_stacked_fold.vl.json,1,-0.2700287456175607,0.15474258466842253
area_vertical.vl.json,1,-0.1437710388278898,0.3043714874529397
bar_axis_space_saving.vl.json,2,-0.04523804401360841,0.36981163592596805
bar_count_minimap.vl.json,1,-0.2280137647385161,0.03827193376450711
bar_grouped_errorbar.vl.json,1,-0.22705823778891235,0.2420025617013845
bar_grouped_errorbar_normalized.vl.json,1,-0.18791858469706121,0.15572862440939053
bar_grouped_stacked.vl.json,1,-0.29811595490649584,0.3270710896283625
bar_grouped_timeunit_yearweek.vl.json,1,-0.3061630912849161,0.2796985210667632
bar_group_timeunit.vl.json,1,-0.20773613623180479,0.0034811731207371665
bar_size_default.vl.json,1,-0.14525812621259276,0.15000531190273111
bar_size_fit.vl.json,1,-0.35977505951115285,-0.11928036819355695
bar_sort_by_count.vl.json,2,-0.009353845815491119,0.30040146279700786
brush_table.vl.json,1,-0.07994734536930383,-0.36397128877959195
circle.vl.json,1,-0.2657484407015236,0.20843247497343131
data,1,-0.23705398374391462,-0.07233294815395928
errorband_2d_vertical_borders_normalized.vl.json,1,-0.2756561912312133,0.04487039783088155
errorband_tooltip.vl.json,1,-0.09690198940295566,-0.04928412720646232
errorbar_2d_vertical_ticks.vl.json,2,0.31344388110231636,-0.21746148838868262
example_code.html,2,0.29199608225333706,-0.20854021398101488
facet_row_facet_row_point_future.vl.json,2,0.258876924689549,-0.14925695390887284
interactive_paintbrush_color.vl.json,2,-0.022306018123797147,0.23839058597372806
interactive_paintbrush_color_nearest.vl.json,2,-0.0017693166465886179,0.21790160664270516
interactive_paintbrush_interval.vl.json,2,0.0614080330755535,0.13760910163417248
interactive_point_init.vl.json,1,-0.12426740486841928,0.027906156722835383
interactive_query_widgets.vl.json,1,-0.34131097230041574,0.02544289873451725
interactive_splom.vl.json,1,-0.0824003864593474,-0.09651439838531778
layer_circle_independent_color.vl.json,1,-0.27668862399217736,-0.1853550938191714
layer_line_errorband_ci.vl.json,1,-0.18248989071578658,-0.24886355064617105
layer_overlay.vl.json,2,-0.07297577178487565,0.3430007007517093
layer_rect_extent.vl.json,2,-0.13822833940047197,0.4143198057749332
layer_scatter_errorband_1d_stdev.vl.json,1,-0.43729163821317546,-0.2762171671291891
layer_text_heatmap.vl.json,1,-0.43729163821317546,-0.2762171671291891
layer_text_heatmap_joinaggregate.vl.json,1,-0.2852743787174408,-0.39769169462062015
line_color_binned.vl (1).json,1,-0.30314748424099314,-0.44765880149779547
line_color_binned.vl.json,1,-0.12990672582782078,-0.03073921527247985
point_2d_config_no_zero.vl.json,1,-0.26671606500606315,-0.356313490239356
point_2d_tooltip_data.vl.json,1,-0.0768196988665678,-0.2898944708653266
point_background.vl.json,1,-0.04817334443234424,-0.3585888447319863
point_binned_color.vl.json,1,-0.059497221045864274,-0.1295338445839446
point_color.vl.json,1,-0.06749188144169978,-0.3260666158894455
point_colorramp_size.vl.json,1,0.04991168872261008,-0.2126804828231955
point_color_custom.vl.json,1,-0.09084298299373537,-0.307253871039019
point_color_quantitative.vl.json,1,-0.17874448880888827,-0.06338667568050854
point_color_shape_constant.vl.json,1,-0.31442033580725487,-0.4229838773171761
point_filled.vl.json,1,-0.14045339774844737,0.0733031600137192
point_href.vl.json,2,-0.15772691887276558,0.5118752949276173
point_tooltip.vl.json,2,-0.16254611634125482,0.540521719738493
rect_heatmap.vl.json,2,-0.1535057171266401,0.4311144327915586
rect_mosaic_labelled.vl.json,2,0.04596261627147005,0.26447855572589013
rect_mosaic_labelled_with_offset.vl.json,2,0.1615360400686442,-0.009178019052002313
rect_mosaic_simple.vl.json,2,0.2207667360286997,-0.06735436861955305
selection_bind_cylyr.vl.json,2,0.09690310671116335,0.17565078807230952
selection_bind_origin.vl.json,2,0.3887414994688153,-0.24774303784953036
selection_clear_brush.vl.json,0,0.4244413045319788,0.09477707860520153
selection_composition_or.vl.json,0,0.5714196644250014,-0.003964311355521763
selection_insert.vl.json,0,0.5598429889909997,0.09974547521763519
selection_project_interval.vl.json,0,0.5861753770196388,-0.021879007339187333
selection_project_multi.vl.json,0,0.5866953080153097,-0.0021354045656557566
selection_project_multi_origin.vl.json,0,0.5718983598259352,0.1075961606197309
selection_project_single.vl.json,0,0.5690985408243353,0.1013720703178413
selection_project_single_cylinders.vl.json,1,0.07442518686366703,-0.036837781131899464
selection_project_single_cylinders_origin.vl.json,1,0.07707157441115878,-0.03707878676397414
selection_project_single_origin.vl.json,2,0.24485561167315553,0.02328173292038472
selection_resolution_global.vl.json,2,0.37797084386089874,-0.2440237597853035
selection_resolution_union.vl.json,2,0.3529085677500222,-0.20150911662124005
selection_resolution_union_normalized.vl.json,2,0.3811531257087359,-0.26776446649010516
selection_toggle_altKey.vl.json,2,0.08963809846995664,0.0035037034619201666
selection_toggle_altKey_shiftKey.vl.json,0,0.40464142649772294,0.11648511464310224
selection_toggle_shiftKey.vl.json,0,0.41323279782161254,0.08852281337053886
selection_translate_scatterplot_shift-drag.vl.json,2,0.21607202716627902,0.06133913441872221
selection_type_interval.vl.json,0,0.3792204644744038,0.08169767712730486
selection_type_point.vl.json,2,0.19720157541571623,-0.041537421353107506
selection_type_point_zorder.vl.json,2,0.20061490942739038,-0.058705658837734015
selection_type_single_dblclick.vl.json,1,-0.2077354017863027,0.13484237666295368
selection_zoom_brush_shift-wheel.vl.json,1,-0.22117098256033357,-0.02123760281020444
selection_zoom_brush_wheel.vl.json,1,-0.13232113280076466,0.118785369513021
